v8-version,6,1,534,48,0
shared-library,"/Users/azat/.nvm/versions/node/v8.9.3/bin/node",0x100001a00,0x100bbb5ca,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff9f6334d0,0x7fff9f820d4c,707506176
shared-library,"/usr/lib/libSystem.B.dylib",0x7fffb389995d,0x7fffb3899b3c,707506176
shared-library,"/usr/lib/libc++.1.dylib",0x7fffb39d3420,0x7fffb3a1af87,707506176
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fffb365a013,0x7fffb365aa26,707506176
shared-library,"/usr/lib/libicucore.A.dylib",0x7fffb3f93888,0x7fffb414d41e,707506176
shared-library,"/usr/lib/libobjc.A.dylib",0x7fffb4548000,0x7fffb4569670,707506176
shared-library,"/usr/lib/libz.1.dylib",0x7fffb4d46b90,0x7fffb4d51c45,707506176
shared-library,"/usr/lib/system/libcache.dylib",0x7fffb4d66934,0x7fffb4d6954e,707506176
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fffb4d6bef4,0x7fffb4d74e82,707506176
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fffb4d76ee4,0x7fffb4d7bace,707506176
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fffb4d7f4fc,0x7fffb4d855ee,707506176
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fffb4d87d40,0x7fffb4deb64f,707506176
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fffb4e0c4c8,0x7fffb4e331f0,707506176
shared-library,"/usr/lib/system/libdyld.dylib",0x7fffb4e3e108,0x7fffb4e4223d,707506176
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fffb4e43a2b,0x7fffb4e43e80,707506176
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fffb4e51f65,0x7fffb4e51f80,707506176
shared-library,"/usr/lib/system/libmacho.dylib",0x7fffb4e52cf0,0x7fffb4e579eb,707506176
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fffb4e592c3,0x7fffb4e5ab42,707506176
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fffb4e5b90c,0x7fffb4e5cc81,707506176
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fffb4e5e89c,0x7fffb4e741a2,707506176
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fffb4e76818,0x7fffb4e76ceb,707506176
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fffb4e78a20,0x7fffb4efd4ba,707506176
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fffb4f05edc,0x7fffb4f085f4,707506176
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fffb4f0a284,0x7fffb4f0c3fe,707506176
shared-library,"/usr/lib/system/libsystem_coretls.dylib",0x7fffb4f0dbe4,0x7fffb4f2189e,707506176
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fffb4f26d00,0x7fffb4f2b4f0,707506176
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fffb4f2da60,0x7fffb4f5334d,707506176
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fffb4f57bc0,0x7fffb4f72841,707506176
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fffb4f7b040,0x7fffb4fa7131,707506176
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fffb4fc2ff0,0x7fffb4fdc18e,707506176
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fffb4fe24dc,0x7fffb501e3b0,707506176
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fffb503c168,0x7fffb5043148,707506176
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fffb5045ffa,0x7fffb504e840,707506176
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fffb50503a0,0x7fffb50562ee,707506176
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fffb5058e10,0x7fffb506010d,707506176
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fffb5064584,0x7fffb50666bf,707506176
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fffb50679b9,0x7fffb506858a,707506176
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fffb506a1b4,0x7fffb506f5de,707506176
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fffb5072924,0x7fffb5081e0d,707506176
shared-library,"/usr/lib/system/libunwind.dylib",0x7fffb50857c0,0x7fffb508a2b7,707506176
shared-library,"/usr/lib/system/libxpc.dylib",0x7fffb508c110,0x7fffb50aa34d,707506176
shared-library,"/usr/lib/libc++abi.dylib",0x7fffb3a29840,0x7fffb3a4ec72,707506176
profiler,"begin",1000
tick,0x7fffb4f69386,3645,0,0x0,4
tick,0x7fffb505501a,4073,0,0x0,4
tick,0x7fffb5054fbf,5892,0,0x0,4
tick,0x7fffb5054fc4,6763,0,0x0,4
tick,0x100871baf,7937,0,0x0,4
tick,0x100870dc9,9203,0,0x0,4
tick,0x7fffb505501a,10897,0,0x0,4
tick,0x7fffb5054fcc,11841,0,0x0,4
tick,0x1005ff590,13047,0,0x0,4
code-creation,Stub,3,13206,0x1c1776b84000,342,"JSEntryStub"
code-creation,Stub,3,13222,0x1c1776b84160,342,"JSEntryStub"
code-creation,Builtin,5,13269,0x1c1776b842c0,134,"EmptyFunction"
code-creation,Stub,3,13280,0x1c1776b84360,382,"CEntryStub"
code-creation,Builtin,5,13287,0x1c1776b844e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,13294,0x1c1776b84580,382,"CEntryStub"
code-creation,Builtin,5,13299,0x1c1776b84700,923,"CompileLazy"
code-creation,Stub,3,13304,0x1c1776b84aa0,1358,"RecordWriteStub"
code-creation,Stub,3,13309,0x1c1776b85000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,13314,0x1c1776b850c0,1386,"RecordWriteStub"
code-creation,Builtin,5,13319,0x1c1776b85640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,13324,0x1c1776b857c0,1085,"FastNewObject"
code-creation,Builtin,5,13328,0x1c1776b85c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,13333,0x1c1776b85d60,2266,"RecordWriteStub"
code-creation,Stub,3,13338,0x1c1776b86640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,13343,0x1c1776b867e0,2317,"RecordWriteStub"
code-creation,Stub,3,13347,0x1c1776b87100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,13352,0x1c1776b87180,2295,"RecordWriteStub"
code-creation,Stub,3,13357,0x1c1776b87a80,2265,"RecordWriteStub"
code-creation,Stub,3,13362,0x1c1776b88360,2257,"RecordWriteStub"
code-creation,Stub,3,13367,0x1c1776b88c40,2269,"RecordWriteStub"
code-creation,Stub,3,13372,0x1c1776b89520,2284,"RecordWriteStub"
code-creation,Stub,3,13377,0x1c1776b89e20,2254,"RecordWriteStub"
code-creation,Stub,3,13382,0x1c1776b8a700,2250,"RecordWriteStub"
code-creation,Stub,3,13387,0x1c1776b8afe0,2254,"RecordWriteStub"
code-creation,Stub,3,13392,0x1c1776b8b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,13397,0x1c1776b8c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,13402,0x1c1776b8c480,2266,"RecordWriteStub"
code-creation,Stub,3,13407,0x1c1776b8cd60,2292,"RecordWriteStub"
code-creation,Stub,3,13412,0x1c1776b8d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,13417,0x1c1776b8d920,980,"RecordWriteStub"
code-creation,Stub,3,13422,0x1c1776b8dd00,2254,"RecordWriteStub"
code-creation,Stub,3,13426,0x1c1776b8e5e0,404,"CEntryStub"
code-creation,Stub,3,13431,0x1c1776b8e780,980,"RecordWriteStub"
tick,0x7fffb4f7147e,14500,0,0x0,4
code-creation,Stub,3,14525,0x1c1776b8eb60,992,"RecordWriteStub"
code-creation,Stub,3,14532,0x1c1776b8ef40,2288,"RecordWriteStub"
code-creation,Stub,3,14538,0x1c1776b8f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14543,0x1c1776b8f980,1373,"RecordWriteStub"
code-creation,Stub,3,14548,0x1c1776b8fee0,2253,"RecordWriteStub"
code-creation,Stub,3,14552,0x1c1776b907c0,2253,"RecordWriteStub"
code-creation,Stub,3,14557,0x1c1776b910a0,2265,"RecordWriteStub"
code-creation,Stub,3,14562,0x1c1776b91980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,14567,0x1c1776b91b60,1019,"CallICStub"
code-creation,Builtin,5,14572,0x1c1776b91f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,14577,0x1c1776b920e0,459,"ToObject"
code-creation,Stub,3,14582,0x1c1776b922c0,2250,"RecordWriteStub"
code-creation,Stub,3,14586,0x1c1776b92ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,14591,0x1c1776b92d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14991,0x1c1776b92ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,14997,0x1c1776b93020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15002,0x1c1776b93160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15006,0x1c1776b932a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,15022,0x1c1776b933e0,121,"Abort"
code-creation,Stub,3,15027,0x1c1776b93460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15032,0x1c1776b93660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15036,0x1c1776b93840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15059,0x1c1776b93a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15065,0x1c1776b93be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15070,0x1c1776b93da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15075,0x1c1776b93ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,15080,0x1c1776b940a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,15086,0x1c1776b941a0,249,"CallBoundFunction"
